"id","year","age","treated","post","time_trend","baseline","treatment_effect","noise","cognition_score"
1,2010,74,0,0,0,72.2,0,2.12603557858949,74.3260355785895
1,2011,74,0,0,1,72,0,0.852040973358009,72.852040973358
1,2012,74,0,0,2,71.8,0,2.86601502164639,74.6660150216464
1,2013,74,0,0,3,71.6,0,-0.0152737408399439,71.5847262591601
1,2014,74,0,0,4,71.4,0,2.25133521044151,73.6513352104415
1,2015,74,0,1,5,71.2,0,1.76600462203449,72.9660046220345
1,2016,74,0,1,6,71,0,1.22416692180014,72.2241669218001
1,2017,74,0,1,7,70.8,0,0.829401413556929,71.6294014135569
1,2018,74,0,1,8,70.6,0,-0.559764794285036,70.040235205715
1,2019,74,0,1,9,70.4,0,-0.218075018338464,70.1819249816615
1,2020,74,0,1,10,70.2,0,0.458790991416934,70.6587909914169
2,2010,78,0,0,0,73.4,0,0.0977777813585723,73.4977777813586
2,2011,78,0,0,1,73.2,0,1.88644893677244,75.0864489367724
2,2012,78,0,0,2,73,0,-0.218634246372862,72.7813657536271
2,2013,78,0,0,3,72.8,0,-0.140753843175655,72.6592461568244
2,2014,78,0,0,4,72.6,0,-0.968638175131329,71.6313618248687
2,2015,78,0,1,5,72.4,0,-0.276672657086657,72.1233273429133
2,2016,78,0,1,6,72.2,0,-0.137531284607689,72.0624687153923
2,2017,78,0,1,7,72,0,-4.62747154779883,67.3725284522012
2,2018,78,0,1,8,71.8,0,-2.72966339442863,69.0703366055714
2,2019,78,0,1,9,71.6,0,-0.144973819903918,71.4550261800961
2,2020,78,0,1,10,71.4,0,-0.530567549728998,70.869432450271
3,2010,73,0,0,0,71.9,0,-2.40173865641487,69.4982613435851
3,2011,73,0,0,1,71.7,0,-3.98307635208604,67.716923647914
3,2012,73,0,0,2,71.5,0,-0.708738439826853,70.7912615601731
3,2013,73,0,0,3,71.3,0,1.30699153138855,72.6069915313886
3,2014,73,0,0,4,71.1,0,3.54647726385513,74.6464772638551
3,2015,73,0,1,5,70.9,0,-0.0769135874186769,70.8230864125813
3,2016,73,0,1,6,70.7,0,2.98636968125543,73.6863696812554
3,2017,73,0,1,7,70.5,0,0.166044315271937,70.6660443152719
3,2018,73,0,1,8,70.3,0,0.231064208519119,70.5310642085191
3,2019,73,0,1,9,70.1,0,0.649650626697493,70.7496506266975
3,2020,73,0,1,10,69.9,0,-1.74115449052184,68.1588455094782
4,2010,62,1,0,0,68.6,0,-0.103436425789767,68.4965635742102
4,2011,62,1,0,1,68.4,0,1.8168953975845,70.2168953975845
4,2012,62,1,0,2,68.2,0,-1.49945157370438,66.7005484262956
4,2013,62,1,0,3,68,0,-0.643212139775922,67.3567878602241
4,2014,62,1,0,4,67.8,0,-2.29554150091851,65.5044584990815
4,2015,62,1,1,5,67.6,2,0.708704392898709,70.3087043928987
4,2016,62,1,1,6,67.4,2,0.849599564778044,70.249599564778
4,2017,62,1,1,7,67.2,2,1.29669470244816,70.4966947024482
4,2018,62,1,1,8,67,2,-2.4396200630338,66.5603799369662
4,2019,62,1,1,9,66.8,2,0.214470069509528,69.0144700695095
4,2020,62,1,1,10,66.6,2,-1.88811538329969,66.7118846167003
5,2010,69,1,0,0,70.7,0,-0.000769297432047004,70.699230702568
5,2011,69,1,0,1,70.5,0,2.68524784001216,73.1852478400122
5,2012,69,1,0,2,70.3,0,-1.00705057386855,69.2929494261314
5,2013,69,1,0,3,70.1,0,1.43336664187765,71.5333666418777
5,2014,69,1,0,4,69.9,0,-1.49933716816739,68.4006628318326
5,2015,69,1,1,5,69.7,2,-0.957056420900611,70.7429435790994
5,2016,69,1,1,6,69.5,2,0.877443501173233,72.3774435011732
5,2017,69,1,1,7,69.3,2,-1.35822454091574,69.9417754590843
5,2018,69,1,1,8,69.1,2,-3.40592967029087,67.6940703297091
5,2019,69,1,1,9,68.9,2,2.53033687042666,73.4303368704267
5,2020,69,1,1,10,68.7,2,0.720714475759693,71.4207144757597
6,2010,77,1,0,0,73.1,0,-1.16727888112018,71.9327211188798
6,2011,77,1,0,1,72.9,0,-3.9881575746612,68.9118424253388
6,2012,77,1,0,2,72.7,0,3.80441954279861,76.5044195427986
6,2013,77,1,0,3,72.5,0,6.78074164254308,79.2807416425431
6,2014,77,1,0,4,72.3,0,0.414960814710913,72.7149608147109
6,2015,77,1,1,5,72.1,2,1.69961329502238,75.7996132950224
6,2016,77,1,1,6,71.9,2,2.44912062414832,76.3491206241483
6,2017,77,1,1,7,71.7,2,-1.40360886707722,72.2963911329228
6,2018,77,1,1,8,71.5,2,-0.70239245911308,72.7976075408869
6,2019,77,1,1,9,71.3,2,-3.45424207329039,69.8457579267096
6,2020,77,1,1,10,71.1,2,-1.47315646454374,71.6268435354562
7,2010,70,1,0,0,71,0,1.24481956577223,72.2448195657722
7,2011,70,1,0,1,70.8,0,-0.581431978481741,70.2185680215183
7,2012,70,1,0,2,70.6,0,-0.428423068366154,70.1715769316338
7,2013,70,1,0,3,70.4,0,-0.225119103005032,70.174880896995
7,2014,70,1,0,4,70.2,0,-3.72733396499121,66.4726660350088
7,2015,70,1,1,5,70,2,1.67525986846334,73.6752598684633
7,2016,70,1,1,6,69.8,2,-2.88698577787084,68.9130142221291
7,2017,70,1,1,7,69.6,2,-0.417140324831297,71.1828596751687
7,2018,70,1,1,8,69.4,2,-0.877126924117661,70.5228730758823
7,2019,70,1,1,9,69.2,2,-0.437187633712396,70.7628123662876
7,2020,70,1,1,10,69,2,2.91993188947157,73.9199318894716
8,2010,64,1,0,0,69.2,0,-1.16411983583074,68.0358801641693
8,2011,64,1,0,1,69,0,-1.56619519142379,67.4338048085762
8,2012,64,1,0,2,68.8,0,-3.03930798988769,65.7606920101123
8,2013,64,1,0,3,68.6,0,-1.6113961632225,66.9886038367775
8,2014,64,1,0,4,68.4,0,-2.33236941473548,66.0676305852645
8,2015,64,1,1,5,68.2,2,0.815892392496592,71.0158923924966
8,2016,64,1,1,6,68,2,-1.72600849201575,68.2739915079842
8,2017,64,1,1,7,67.8,2,0.608084070056272,70.4080840700563
8,2018,64,1,1,8,67.6,2,-0.292854975695841,69.3071450243042
8,2019,64,1,1,9,67.4,2,-2.86712435982161,66.5328756401784
8,2020,64,1,1,10,67.2,2,-1.5812155714454,67.6187844285546
9,2010,79,0,0,0,73.7,0,1.77022491011535,75.4702249101154
9,2011,79,0,0,1,73.5,0,1.80615217190914,75.3061521719091
9,2012,79,0,0,2,73.3,0,4.01114654860126,77.3111465486013
9,2013,79,0,0,3,73.1,0,-0.00716061679956171,73.0928393832004
9,2014,79,0,0,4,72.9,0,-2.99165362796428,69.9083463720357
9,2015,79,0,1,5,72.7,0,-1.53683405403032,71.1631659459697
9,2016,79,0,1,6,72.5,0,0.816977009680297,73.3169770096803
9,2017,79,0,1,7,72.3,0,3.80027266978944,76.1002726697894
9,2018,79,0,1,8,72.1,0,0.220018246879446,72.3200182468795
9,2019,79,0,1,9,71.9,0,2.28077365025694,74.1807736502569
9,2020,79,0,1,10,71.7,0,1.53616260938452,73.2361626093845
10,2010,73,1,0,0,71.9,0,-2.33618324423467,69.5638167557653
10,2011,73,1,0,1,71.7,0,-0.342225304529717,71.3577746954703
10,2012,73,1,0,2,71.5,0,2.61052307269537,74.1105230726954
10,2013,73,1,0,3,71.3,0,1.75219221919183,73.0521922191918
10,2014,73,1,0,4,71.1,0,0.927592283135595,72.0275922831356
10,2015,73,1,1,5,70.9,2,0.954228490753758,73.8542284907538
10,2016,73,1,1,6,70.7,2,-0.982810600418805,71.7171893995812
10,2017,73,1,1,7,70.5,2,-2.6387706266884,69.8612293733116
10,2018,73,1,1,8,70.3,2,2.59085158166261,74.8908515816626
10,2019,73,1,1,9,70.1,2,-2.84043898333386,69.2595610166662
10,2020,73,1,1,10,69.9,2,-1.87779183941166,70.0222081605883
11,2010,64,1,0,0,69.2,0,1.25792998503968,70.4579299850397
11,2011,64,1,0,1,69,0,-2.5243890987792,66.4756109012208
11,2012,64,1,0,2,68.8,0,-1.10374082654558,67.6962591734544
11,2013,64,1,0,3,68.6,0,-2.36559901356496,66.234400986435
11,2014,64,1,0,4,68.4,0,1.2413271154579,69.6413271154579
11,2015,64,1,1,5,68.2,2,0.892626033276191,71.0926260332762
11,2016,64,1,1,6,68,2,0.843769386547376,70.8437693865474
11,2017,64,1,1,7,67.8,2,0.884929544291273,70.6849295442913
11,2018,64,1,1,8,67.6,2,1.11449149275788,70.7144914927579
11,2019,64,1,1,9,67.4,2,1.27871298394103,70.678712983941
11,2020,64,1,1,10,67.2,2,-3.93732311334844,65.2626768866516
12,2010,78,0,0,0,73.4,0,-0.297632722719736,73.1023672772803
12,2011,78,0,0,1,73.2,0,0.224927625103801,73.4249276251038
12,2012,78,0,0,2,73,0,1.44935240529552,74.4493524052955
12,2013,78,0,0,3,72.8,0,-2.37497215201057,70.4250278479894
12,2014,78,0,0,4,72.6,0,-0.999200379631826,71.6007996203682
12,2015,78,0,1,5,72.4,0,-2.14728598150232,70.2527140184977
12,2016,78,0,1,6,72.2,0,2.11448042541936,74.3144804254194
12,2017,78,0,1,7,72,0,2.55814516641867,74.5581451664187
12,2018,78,0,1,8,71.8,0,1.57535345071847,73.3753534507185
12,2019,78,0,1,9,71.6,0,-2.44480676515398,69.155193234846
12,2020,78,0,1,10,71.4,0,0.903904233473308,72.3039042334733
13,2010,68,1,0,0,70.4,0,2.30089837276183,72.7008983727618
13,2011,68,1,0,1,70.2,0,0.335881961472918,70.5358819614729
13,2012,68,1,0,2,70,0,-1.13221866579194,68.8677813342081
13,2013,68,1,0,3,69.8,0,-2.1722364812227,67.6277635187773
13,2014,68,1,0,4,69.6,0,-1.33060559112031,68.2693944088797
13,2015,68,1,1,5,69.4,2,1.42969671189868,72.8296967118987
13,2016,68,1,1,6,69.2,2,-0.863322200763856,70.3366777992361
13,2017,68,1,1,7,69,2,0.455229879880175,71.4552298798802
13,2018,68,1,1,8,68.8,2,2.58989159134061,73.3898915913406
13,2019,68,1,1,9,68.6,2,1.15666988093891,71.7566698809389
13,2020,68,1,1,10,68.4,2,2.72934556294708,73.1293455629471
14,2010,62,0,0,0,68.6,0,-3.40315960532081,65.1968403946792
14,2011,62,0,0,1,68.4,0,-0.561352559427585,67.8386474405724
14,2012,62,0,0,2,68.2,0,0.130136038984386,68.3301360389844
14,2013,62,0,0,3,68,0,1.15717858321703,69.157178583217
14,2014,62,0,0,4,67.8,0,-2.33841324305794,65.4615867569421
14,2015,62,0,1,5,67.6,0,1.61236971089458,69.2123697108946
14,2016,62,0,1,6,67.4,0,0.614780152324667,68.0147801523247
14,2017,62,0,1,7,67.2,0,0.527612027209434,67.7276120272094
14,2018,62,0,1,8,67,0,1.01696958321009,68.0169695832101
14,2019,62,0,1,9,66.8,0,-0.232716879753989,66.567283120246
